axis_x,axis_y,r_mutual,discriminant_power,variance_iris,interpretability,orthogonality,orthogonality_norm,discriminant_power_norm,variance_iris_norm,interpretability_norm,composite_score
score_cap_eco,score_precarite,0.807,18.71,593.88,0.0526,0.193,0.1856710393541877,0.548984468339307,0.5312059525750066,0.4387568555758684,0.41990059457639534
score_confort_residentiel,score_pca_pc4_démographie_chauffage,0.494,12.28,646.03,0.0385,0.506,0.5015136226034309,0.35692951015531654,0.5812102674248019,0.1809872029250457,0.4187695492591072
score_cap_eco,score_pca_pc4_démographie_chauffage,0.07,6.31,318.29,0.037,0.93,0.9293642785065591,0.17861409796893665,0.2669549625566924,0.15356489945155388,0.4177499452701671
score_domination,score_precarite,0.8,20.21,669.52,0.04,0.2,0.1927346115035318,0.5937873357228196,0.6037337833561861,0.2084095063985375,0.4176541335850643
score_exploitation,score_pca_pc4_démographie_chauffage,0.075,5.88,307.32,0.0385,0.925,0.9243188698284561,0.1657706093189964,0.2564363176112992,0.1809872029250457,0.41375071817120224
score_urbanite,score_pca_pc4_démographie_chauffage,0.553,13.75,668.37,0.0357,0.447,0.4419778002018164,0.40083632019115883,0.6026310995196135,0.1297989031078611,0.41288210749755233
score_exploitation,score_pca_pc6_équipements_diplômes,0.062,6.23,238.93,0.04,0.938,0.9374369323915237,0.17622461170848266,0.1908601892780777,0.2084095063985375,0.4123431576308222
score_exploitation,score_pca_pc2_composition_diplômes,0.624,18.38,511.41,0.0357,0.376,0.3703329969727548,0.5391278375149342,0.4521291386600954,0.1297989031078611,0.40969030542025164
score_cap_eco,score_lda_axe2,0.097,5.61,169.46,0.05,0.903,0.9021190716448032,0.15770609318996415,0.124248496993988,0.3912248628884827,0.4093662829419984
score_rentier,score_lda_axe2,0.393,6.21,295.42,0.0714,0.607,0.6034308779011099,0.17562724014336914,0.24502593704154726,0.7824497257769654,0.40887144369536643
score_cap_eco,score_pca_pc2_composition_diplômes,0.641,18.81,522.38,0.0345,0.359,0.3531786074672048,0.5519713261648745,0.4626477836054885,0.10786106032906768,0.4078522621683254
score_domination,score_pca_pc7_logement_csp,0.061,7.16,301.25,0.0303,0.939,0.9384460141271442,0.20400238948626043,0.25061606466521563,0.03107861060329068,0.4077196450818712
score_exploitation,score_cap_cult,0.484,13.63,393.14,0.0455,0.516,0.5116044399596368,0.39725209080047785,0.338725297484922,0.3089579524680073,0.40660831613524373
score_cap_cult,score_cap_eco,0.494,14.06,404.1,0.0435,0.506,0.5015136226034309,0.41009557945041814,0.3492343538752146,0.2723948811700182,0.4046936425392213
score_domination,score_pca_pc3_équipements_démographie,0.29,9.13,515.38,0.0312,0.71,0.7073662966700303,0.2628434886499402,0.4559357950350462,0.047531992687385706,0.40252206793860523
score_cap_eco,score_pca_pc3_équipements_démographie,0.26,7.63,439.74,0.0385,0.74,0.7376387487386478,0.21804062126642768,0.38340796425386664,0.1809872029250457,0.40143551535437416
score_equipement_public,score_pca_pc6_équipements_diplômes,0.226,2.25,492.49,0.05,0.774,0.7719475277497477,0.05734767025089605,0.43398759240969986,0.3912248628884827,0.3971371908279503
score_ruralite,score_lda_axe2,0.376,9.06,269.44,0.0556,0.624,0.62058526740666,0.260752688172043,0.2201148708901056,0.49360146252285186,0.39550221463866186
score_exploitation,score_lda_axe2,0.15,5.18,158.49,0.0526,0.85,0.8486377396569121,0.14486260454002386,0.11372985204859483,0.4387568555758684,0.3938527322321812
score_cap_cult,score_pca_pc5_équipements_csp,0.317,9.21,381.33,0.04,0.683,0.6801210898082746,0.26523297491039427,0.3274012139110758,0.2084095063985375,0.39360953690311606
score_cap_eco,score_pca_pc7_logement_csp,0.069,5.66,225.61,0.037,0.931,0.9303733602421796,0.1591995221027479,0.17808823388403605,0.15356489945155388,0.39348422250315596
