,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
DISP_PPAT21,0.025388198566106152,-0.1351954209078457,-0.1498259715269185,-0.013678479913092002,0.1432664778688508,-0.07794039829854567,0.24247596055566806,-0.02240855839188729,-0.10402075915936346,-0.05836448450465609,-0.2735396309350844,-0.08399613166524005,-0.07574895736140765
DISP_PPEN21,0.08872332168117006,0.07982199751965083,-0.23341408493974117,0.2118653946149751,-0.013615272328688805,0.0032833918608799833,-0.05917562743667209,0.08427450530259395,0.08465283380260258,0.020645702612685394,0.043892872523621396,0.008134422490779614,-0.06404644209181531
DISP_PPSOC21,-0.10340051031353949,0.2082825583046516,0.023559037482808073,-0.034862048781402026,0.05082364079786257,-0.0315146843661288,0.06703673853657813,-0.0029124877962078063,-0.11274023598392788,0.04180977969187871,0.12289106317055654,0.00028556185895181607,0.07441288577957586
DISP_PCHO21,-0.1349019753828507,0.11806996998033781,0.040745121777463096,-0.1302085363670311,-0.05801323053687725,-0.12709888656616922,-0.026779067584736284,0.08139803155880386,-0.07670957135549923,0.078809470524622,0.05472127596474221,-0.03207018379381586,0.07555360099578401
DISP_PPFAM21,-0.06807141493341234,0.20459962046994024,0.12423085695531982,-0.031592798146991806,0.041597247619241856,-0.06918316795887461,0.12116576497733544,-0.05044967237501518,-0.03019476856322643,0.028045452725775383,0.11363762156453745,0.01527333798332002,0.061212201065109884
DISP_PPLOGT21,-0.12834481567398168,0.18397947825926614,-0.004943088362555912,-0.029871142956523482,0.047805824229648304,0.008329589779963469,0.0519299329985045,0.020721181494185253,-0.13444082531714646,0.03780340157413134,0.10574917422827293,-0.008593870691945713,0.05825799865010041
DISP_PPMINI21,-0.11045158091509312,0.1990562144638257,-0.016017321075556694,-0.013499539623629622,0.039731170560338466,-0.016221460258353693,0.05306480475420196,0.008818898864025256,-0.1395911985649228,0.029258616911128146,0.10436804231172978,-0.0023993777361724367,0.07497886764920021
DISP_PIMPOT21,0.02458802157174386,0.23975673573589296,0.040668330033874656,-0.020009826586608208,-0.10257091644793863,0.049181641648862844,-0.0821353338453405,0.048220713419687034,-0.005186437183560921,0.011465234530252603,0.008655369914725965,-0.017807729605138697,-0.030832219785778964
DISP_PACT21,-0.05755336895033835,-0.17413949900155476,0.20330334104861866,-0.08575733517676315,-0.053450022705776826,0.023007518258609038,-0.05650465994330566,-0.0684161965953674,0.040996676992352314,-0.0154570231097091,0.04573615263885413,0.0437294687437921,0.06506219083862332
pct_sup5,-0.09839294535410043,-0.21065665147529916,-0.030068039302945753,0.0047521137274073935,0.12427550824417799,0.008218562838556962,-0.01118525431855529,-0.030191214794695102,-0.0702804521435068,0.07107605020651564,0.084992299527189,0.031658319177432774,0.045190023139595706
pct_sans_diplome,-0.030840764493448348,0.22177491069296718,-0.02443795073076362,0.01771194824473253,0.005087327720721781,-0.1268228500305975,0.020041549629579863,-0.06319323391342849,0.11943190036611519,-0.1499629232429553,-0.03311998224573888,0.02184425409850142,0.04174150400945415
pct_capbep,0.13691512847836096,0.15773214006000932,0.014765197410691502,-0.025379444634139513,-0.0746835541248742,0.01793694246472758,-0.07100308961502466,-0.0021206703003175467,0.0022394141737273293,-0.08573324519372896,-0.11596847746586564,-0.03369198292709507,-0.09674771629666795
pct_bac_plus,-0.06953294888958947,-0.23209846320002264,0.0019508259586050497,0.01229603445669543,0.08158794256647531,0.06253511953068028,0.012604532948277403,0.0005292102677440444,-0.08581719755018412,0.11814455139906832,0.09805787094541384,0.02411529161556952,0.034833981768783835
pct_chomage,-0.1184379436916369,0.16953504103471,-0.04690883983535431,0.031876226887099346,0.04378242938040445,-0.01860084086895487,0.07630499607529062,0.02736356305155925,-0.11034081646096264,-0.014849356685550541,0.04830354301302553,-0.018598912939339705,0.003997244043233723
pct_cdi,0.10152613581588153,-0.11937295937417242,0.1124295437207772,0.12814168594455358,-0.06924411326436523,-0.19064633999410435,0.06860313475880411,-0.09519975745249257,0.058659502571689795,-0.15863621473437406,0.1540461269963457,-0.08890230310460523,0.020811606956468207
pct_cdd,-0.08468631290364913,0.0906863880842027,-0.12926690378644537,-0.13343322036572988,0.039794563067015606,0.13061972596299024,-0.05934464816120991,0.15180183159635535,-0.02336397696909292,0.2716871775472983,-0.16204145896542588,0.12932245576556228,0.020679406526881938
pct_interim,-0.028648187811302187,0.1596070740350975,0.017453544673087226,-0.009889055888511453,0.0431111984884207,0.06352195363876188,-0.028041088997381555,-0.1100621373695876,-0.14943452281123282,-0.11551603581369284,-0.13844267012156297,-0.026853793525547644,-0.04651862734274703
pct_temps_partiel,-0.016710673808636826,0.11346490468558837,-0.10189342424300488,-0.06196757337077219,0.19455097212652336,0.11381203569939491,0.05069320694813629,0.09459320401610943,-0.1387421327812405,0.19866950468830188,0.009951921865791536,-0.0013934548669540664,-0.017816676751940208
pct_inactif,-0.08541819179364009,0.1310629358572303,-0.0836250790655067,0.0306779617155981,0.20166574355210842,0.16789561980066325,0.2004513336569524,0.13658896982962118,0.15859312033546352,-0.1332759740342505,0.1368089650619468,0.0693645428932406,-0.07297929868789621
pct_etudiants,-0.11178053661223149,-0.04734118467858982,0.00017278426358713288,-0.027166213380170813,0.20209494283786367,0.3036876362452756,0.11012051790652735,0.094515500493387,0.10402621164993224,-0.05609550278442374,0.1621258723291471,-0.0009072834324984473,-0.12812354937397286
pct_actifs_voiture,0.17038606808967421,0.08439202273978794,0.02177894380587313,0.013603043080527314,-0.04089913646767727,0.10913555254001729,0.11917397147816368,0.05375055119396643,-0.10542857091801722,-0.05942712732231159,-0.06128570735147899,-0.06033557277519873,-0.0332437193874114
pct_actifs_transports,-0.1623479907524973,-0.0762731403178645,0.07073086504716534,0.0009142369435095945,0.03380942437031641,-0.1765497645662307,-0.06662286064227561,-0.05769125178225695,0.15536668504205664,0.05067928189505838,0.085517588433097,0.04168983345266465,0.008782671084317212
pct_actifs_velo,-0.10247562754968244,-0.08383662534235065,-0.054753433568870295,0.0529617015286152,0.07558877094137753,0.1484115877422084,-0.15260766425049416,0.052314085982720096,-0.1492131134259441,0.1367134159465189,-0.0004999662626872271,0.05645122554006192,-0.030934585287972514
pct_actifs_2roues,-0.052207268935045625,-0.07854820172644267,-0.02863700602816251,0.052376499179911336,-0.029611865212311416,-0.1719875732414213,0.017364658530195438,0.13378732773033442,0.03397396235699442,-0.08863410707793021,-0.0463733726297406,-0.24055612487748979,0.20273650257212886
pct_actifs_marche,-0.1161005844513122,-0.010625813518136207,-0.16804286097237223,-0.057692573658831035,-0.05064757253430606,0.10222241831268991,-0.10801959414509726,-0.0966044721012378,-0.05214017602348677,-0.03186771885921469,-0.0477447095244536,0.06690738859481689,0.027726423127850734
pct_proprietaires,0.19078626796775908,-0.05388128415666515,0.019151204415448222,-0.015945670121547295,0.052358746176907535,-0.052754212963453465,0.01760414569155595,0.010493546732179133,0.056968820473820854,-0.05555410146355867,0.07371188284737239,0.048151810960419844,-0.015127107737713915
