,national,MACRON,LE_PEN,MELENCHON,ZEMMOUR,PECRESSE,JADOT,ROUSSEL,HIDALGO,DUPONT_AIGNAN,AUTRE,ABSTENTION
pct_temps_partiel,16.736782633186134,16.492245555760118,16.79574783596772,17.08059447360662,16.433903704019695,16.26428706465692,16.604926472682646,16.879814510440955,16.978174566941696,16.721638957819245,17.101360710702536,16.961909618557964
pct_inactif,24.87523062385196,24.399090764817146,24.795615803702596,26.0156764327109,24.594701542493294,24.146267369677894,24.151118267596733,25.19197461917269,24.743072070343498,24.15910076480273,24.45899242577129,25.694113709805567
pct_etudiants,10.124817414665168,10.2730901123068,9.213024277773,10.951973652189436,10.10215423567664,10.194106112972094,10.817608564984534,9.860939049104344,10.315659962541432,9.41201413481619,9.300647200661688,10.257743596469616
pct_actifs_voiture,71.24976514392144,70.47850481099786,77.93077129659304,64.93835604064986,70.96765419088331,69.82739268652053,67.53381934363625,73.28070674127868,71.32410894230689,75.57356967614686,76.69459008150488,70.06817643494968
pct_actifs_transports,14.213516386931543,14.481753579841435,9.235091865896162,19.839033221594836,13.921981154932901,14.701063086249052,16.331062512837786,12.660351224049625,13.56941646698023,10.927039165638572,9.58834258378753,15.170552315288978
pct_actifs_velo,3.0123421683761253,3.2372777426286543,2.1439556277255036,3.5562424645237583,2.97869593029361,3.1001692311820106,4.035798032105245,2.8174200741592,3.461447053037583,2.4455093078796977,2.4172994997263033,3.0269964849894784
pct_actifs_2roues,1.7119503547880373,1.7881468608609863,1.5297530754931616,1.7245570176189204,1.9845708774131812,1.878380636834951,1.847770765629588,1.599708508783545,1.6288251390931854,1.6100589427220335,1.5179686231923586,1.7206421246156514
pct_actifs_marche,6.033229738430092,6.145437325797663,5.221390529422223,6.6555997051301095,6.271779006518861,6.34215496394415,6.529738698461217,5.829343566960198,6.175015134244754,5.402716105029804,5.464741094449242,6.43180188894964
pct_proprietaires,60.00511558092343,60.981577166714914,63.92475874652819,53.03515220895523,60.935866259240775,62.11802548892407,59.3175810727915,60.77191421877786,60.09632176464783,64.10241659089172,64.5118013148403,56.8210772673452
pct_locataires,37.942486355480156,36.969102658899864,34.060312954068515,44.97769081367224,36.7889914151715,35.685108861543505,38.6096025137958,37.23277291819821,37.893587986324874,33.85884278832823,33.35331800196317,41.14307801009783
pct_hlm,14.046884729420098,12.652259162110663,12.756215737805734,19.301057197279576,12.031284806852216,11.310708592133922,12.26815680355857,14.250031701481642,13.108753627992014,11.791537227399852,11.220182807457169,16.690637768179933
pct_logvac,7.585296586717751,7.4678617296072405,7.721251031777304,7.537162279833443,7.582322364676989,7.659653208265295,7.39717917511356,7.713884325902438,7.661899637649422,7.628051015761424,7.8560925980316965,7.7575990702766875
pct_maison,58.5979076589925,58.36389032888585,67.64946902395951,48.579286416328095,57.12606506276211,58.347688490364035,54.36434736619356,62.03224990788615,58.99946113645662,64.83967246273075,67.0943475508925,54.823743801469185
pct_appart,40.43443705518869,40.684896848174944,31.485663724347603,50.29339039574833,41.9283396350585,40.69707449934537,44.656567777319744,37.03208745839635,40.05872921638641,34.27591833959386,32.02992507522828,44.1692419910599
pct_petits_logements,9.42571764967847,9.701178176838535,6.746522336240014,11.847681630991849,9.761339606492301,9.784330260657672,11.411712446606629,8.648059211786254,9.75268557853298,7.532247290448122,7.294019142102689,9.928292905471126
pct_grands_logements,17.52065328915676,18.315749208758756,19.07232102884904,13.847914647020474,18.11314136132492,19.099795903389673,17.56478388983792,17.109060189776773,17.690465151438517,19.641726472776085,20.182939241066123,15.691809448870304
pct_logements_anciens,11.536669647091593,11.652554017671587,12.120129435142351,10.003048677246861,11.797090721360517,12.688954743319748,11.657133955358914,11.569067110982331,11.762157568660902,12.338810359337153,13.553811702887891,10.667245220037188
pct_logements_recents,15.6702375006199,15.711547416042595,15.900715054120253,15.37614435799323,15.395568575954387,15.051860606446393,16.045508841855014,15.381657445517707,15.98842301692349,16.171127659201506,16.243652419469136,15.030446402570274
pct_voiture_0,16.68731730273628,16.54376651774471,13.04457625826194,21.45355243332949,16.262734013799907,16.24025142394205,18.207822576670267,16.02167216039898,16.774595680718523,13.395737016327473,13.168609399932802,18.239671065493923
