IRIS;DISP_TP6021;DISP_INCERT21;DISP_Q121;DISP_MED21;DISP_Q321;DISP_EQ21;DISP_D121;DISP_D221;DISP_D321;DISP_D421;DISP_D621;DISP_D721;DISP_D821;DISP_D921;DISP_RD21;DISP_S80S2021;DISP_GI21;DISP_PACT21;DISP_PTSA21;DISP_PCHO21;DISP_PBEN21;DISP_PPEN21;DISP_PPAT21;DISP_PPSOC21;DISP_PPFAM21;DISP_PPMINI21;DISP_PPLOGT21;DISP_PIMPOT21;DISP_NOTE21
692770104;3,0;1;25150;31690;41960;0,53;19480;23830;26110;29350;35030;38860;44560;54860;2,8;3,5;0,255;85,0;79,3;2,1;3,6;22,9;11,9;1,9;1,2;0,5;0,2;-21,7;0
692790101;4,0;1;22220;28150;35510;0,47;17270;20990;23380;25480;30840;33600;37550;44150;2,6;3,0;0,224;78,1;71,3;2,5;4,3;27,5;10,3;2,7;1,5;0,9;0,3;-18,6;0
692790102;5,0;1;22300;27910;34710;0,44;17370;21180;23240;25440;30230;32930;37160;44290;2,5;3,1;0,228;81,1;74,2;2,0;4,9;25,8;7,8;2,6;1,5;0,9;0,2;-17,3;0
692820101;5,0;2;24860;31300;39630;0,47;19110;23220;26540;29270;34250;37510;41780;50300;2,6;3,3;0,238;83,6;77,2;1,8;4,6;26,3;9,0;2,0;1,2;0,6;0,2;-20,9;0
692820102;11,0;2;17970;25060;35960;0,72;13200;16700;19620;22480;28320;33110;39290;49490;3,8;5,8;0,365;70,9;62,7;2,2;6,0;26,2;20,3;3,9;1,8;1,5;0,6;-21,3;0
692820103;9,0;2;18550;24500;31850;0,54;13860;16900;19570;22090;27060;30100;33480;40340;2,9;3,4;0,238;78,6;71,8;2,8;4,0;25,2;6,1;5,6;2,6;2,3;0,7;-15,5;0
692820104;10,0;1;19220;24930;31860;0,51;13970;17290;20130;22290;27370;30510;34420;40340;2,9;3,5;0,244;77,3;71,4;2,7;3,2;26,9;7,3;4,8;2,4;1,7;0,7;-16,3;0
692820201;5,0;2;20690;26210;33210;0,48;16170;19620;22020;24220;28970;31620;35500;42380;2,6;3,1;0,226;75,9;70,0;2,5;3,4;30,6;7,3;3,2;1,8;1,1;0,3;-17,0;0
692820202;5,0;1;22240;27330;34660;0,45;17370;21050;23330;25420;30110;33120;36740;42650;2,5;3,1;0,226;75,2;69,4;2,4;3,4;31,9;7,7;2,8;1,6;1,0;0,2;-17,6;0
692820203;17,0;2;15550;21340;28140;0,59;12520;14750;16660;18940;23700;26680;29530;33570;2,7;3,2;0,232;70,9;66,2;3,5;1,2;29,2;5,5;7,6;4,0;2,2;1,4;-13,2;0
692820204;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
692820301;16,0;1;16340;22240;28470;0,55;11850;15030;17750;19970;24290;26890;30110;35080;3,0;3,4;0,238;85,8;79,3;3,7;2,8;17,6;4,0;7,1;2,9;2,8;1,4;-14,5;0
692820401;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
692820402;9,0;2;19220;24160;31220;0,50;14380;17320;20340;22440;27070;29690;32430;37950;2,6;3,2;0,225;74,5;70,1;2,6;1,8;30,4;4,8;5,3;2,3;2,1;0,9;-15,0;1
692820403;25,0;2;13770;18260;23980;0,56;10290;12530;14640;16390;20340;22570;25590;29970;2,9;3,4;0,238;70,1;63,0;4,1;3,0;26,3;4,0;10,7;5,2;3,7;1,8;-11,1;0
692820501;22,0;1;14660;19630;25980;0,58;10780;13400;15510;17490;21880;24430;27730;32780;3,0;3,6;0,249;82,6;73,9;5,1;3,6;16,6;3,7;10,2;4,0;4,2;2,0;-13,1;0
692820502;5,0;2;21400;27310;35630;0,52;15630;19510;22890;25330;30530;33860;37910;44920;2,9;3,5;0,244;82,6;75,1;2,1;5,4;24,3;8,3;2,9;1,6;1,0;0,3;-18,1;0
692820601;nd;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so
