CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,UXD,EXD,LR,DVD,DVC,HOR,UDI,UG,LFI,PS,DVG,EELV,PCF,EXG,REG,AUTRE,score_RN,score_UXD,score_EXD,score_LR,score_DVD,score_DVC,score_HOR,score_UDI,score_UG,score_LFI,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_REG,score_AUTRE,pct_abstention,score_blanc,score_nul
024080701,841,320,521,7.0,10,303,102,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,33.66,0.0,0.0,0.0,0.0,66.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.95,2.31,3.3
024080801,813,454,359,9.0,8,437,111,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,25.4,0.0,0.0,0.0,0.0,74.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.16,2.06,1.83
024080901,1583,836,747,21.0,16,799,166,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,20.78,0.0,0.0,0.0,0.0,79.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.19,2.63,2.0
025390000,526,381,145,6.0,2,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27.57,1.61,0.54
025540000,818,483,335,9.0,4,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.95,1.91,0.85
025580000,1726,1266,460,11.0,8,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.65,0.88,0.64
027190000,1718,989,729,7.0,3,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,42.43,0.72,0.31
027880000,322,260,62,3.0,5,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.25,1.19,1.98
028100102,880,464,416,5.0,11,448,238,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,53.12,0.0,0.0,0.0,0.0,46.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.27,1.12,2.46
028100202,1636,897,739,13.0,14,870,387,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,44.48,0.0,0.0,0.0,0.0,55.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.17,1.49,1.61
028100302,3002,1750,1252,27.0,48,1675,848,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,50.63,0.0,0.0,0.0,0.0,49.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.71,1.61,2.87
