CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,EXD,LR,DVD,DVC,MODEM,UDI,UG,PS,DVG,EELV,PCF,EXG,AUTRE,score_RN,score_EXD,score_LR,score_DVD,score_DVC,score_MODEM,score_UDI,score_UG,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_AUTRE,pct_abstention,score_blanc,score_nul
013030000,1121,836,285,0.0,14,822,0,0,0,392,0,0,0,0,0,0,0,0,0,430,0.0,0.0,0.0,47.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.31,25.42,0.0,1.7
013070000,614,461,153,0.0,12,449,0,0,0,0,0,0,0,0,0,0,0,0,0,3069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.52,24.92,0.0,2.67
013140000,1083,795,288,0.0,19,776,0,0,0,372,0,0,0,0,0,0,0,0,0,404,0.0,0.0,0.0,47.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.06,26.59,0.0,2.45
013280000,374,169,205,0.0,32,137,0,0,0,0,0,0,0,0,0,0,0,0,0,617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.36,54.81,0.0,23.36
013710000,869,605,264,0.0,12,593,0,0,0,134,0,0,0,0,0,173,0,0,0,286,0.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,29.17,0.0,0.0,0.0,48.23,30.38,0.0,2.02
013790000,512,405,107,0.0,9,396,0,0,0,0,0,0,0,0,0,0,0,0,0,5788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461.62,20.9,0.0,2.27
013810000,567,387,180,0.0,13,374,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.75,0.0,3.48
014000000,133,99,34,0.0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.69,25.56,0.0,0.0
014100000,253,190,63,0.0,2,188,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,24.9,0.0,1.06
014110000,207,152,55,0.0,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.67,26.57,0.0,1.33
014320000,198,149,49,0.0,5,144,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.31,24.75,0.0,3.47
014480000,252,127,125,0.0,5,122,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.61,49.6,0.0,4.1
014490000,542,374,168,0.0,3,371,0,0,0,0,0,0,0,0,0,0,0,0,0,1831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.53,31.0,0.0,0.81
020100000,127,115,12,0.0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.49,9.45,0.0,0.88
020160000,159,83,76,0.0,8,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47.8,0.0,10.67
020310000,461,337,124,0.0,10,327,0,0,0,0,0,0,0,0,0,0,0,0,0,955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.05,26.9,0.0,3.06
020380000,64,39,25,0.0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,39.06,0.0,2.63
020440000,27,20,7,0.0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.93,0.0,25.0
020490000,561,219,342,0.0,31,188,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.02,60.96,0.0,16.49
020560000,133,96,37,0.0,3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.16,27.82,0.0,3.23
020620000,97,68,29,0.0,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.9,0.0,9.68
020750000,168,130,38,0.0,12,118,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.62,0.0,10.17
020790000,135,130,5,0.0,5,125,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.8,3.7,0.0,4.0
020810000,291,244,47,0.0,6,238,0,0,0,0,0,0,0,0,0,0,0,0,0,2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.91,16.15,0.0,2.52
020840000,186,161,25,0.0,3,158,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.08,13.44,0.0,1.9
020970000,194,111,83,0.0,41,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,42.78,0.0,58.57
020990000,180,144,36,0.0,2,142,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.07,20.0,0.0,1.41
021060000,460,368,92,0.0,2,366,0,0,0,0,0,0,0,0,0,0,0,0,0,4986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362.3,20.0,0.0,0.55
021120000,484,346,138,0.0,6,340,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.53,28.51,0.0,1.76
021380000,170,123,47,0.0,2,121,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27.65,0.0,1.65
021440000,101,81,20,0.0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.17,19.8,0.0,12.5
021500000,61,13,48,0.0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,78.69,0.0,8.33
021590000,238,152,86,0.0,6,146,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36.13,0.0,4.11
021620000,184,133,51,0.0,11,122,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.08,27.72,0.0,9.02
021730101,2749,1338,1411,0.0,23,1315,356,0,0,663,0,0,0,296,0,0,0,0,0,0,27.07,0.0,0.0,50.42,0.0,0.0,0.0,22.51,0.0,0.0,0.0,0.0,0.0,0.0,51.33,0.0,1.75
021730201,3361,1798,1563,0.0,35,1763,384,0,0,1030,0,0,0,349,0,0,0,0,0,0,21.78,0.0,0.0,58.42,0.0,0.0,0.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0,1.99
021730301,1743,971,772,0.0,27,944,181,0,0,553,0,0,0,210,0,0,0,0,0,0,19.17,0.0,0.0,58.58,0.0,0.0,0.0,22.25,0.0,0.0,0.0,0.0,0.0,0.0,44.29,0.0,2.86
021760000,165,98,67,0.0,7,91,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.61,0.0,7.69
021880000,136,117,19,0.0,2,115,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.43,13.97,0.0,1.74
021960000,249,107,142,0.0,16,91,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,57.03,0.0,17.58
021980000,191,141,50,0.0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.79,26.18,0.0,0.0
022190000,123,108,15,0.0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.19,12.2,0.0,0.0
022290000,56,45,11,0.0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,19.64,0.0,12.5
022300000,148,117,31,0.0,2,115,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.95,0.0,1.74
022350000,97,78,19,0.0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,19.59,0.0,4.0
022360000,235,147,88,0.0,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.45,0.0,2.08
022710000,110,58,52,0.0,6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47.27,0.0,11.54
022760000,100,81,19,0.0,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.0,0.0,3.85
022970000,86,70,16,0.0,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.65,18.6,0.0,1.45
023070000,1578,1038,540,0.0,25,1013,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0.0,0.0,0.0,48.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.83,34.22,0.0,2.47
023090000,418,309,109,0.0,9,300,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.33,26.08,0.0,3.0
023130000,344,277,67,0.0,14,263,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.48,0.0,5.32
023160000,143,120,23,0.0,3,117,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.73,16.08,0.0,2.56
023190000,352,272,80,0.0,12,260,0,0,0,0,0,0,0,0,0,0,0,0,0,2416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.23,22.73,0.0,4.62
023290000,342,250,92,0.0,5,245,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.33,26.9,0.0,2.04
023340000,2108,1542,566,0.0,132,1410,0,0,0,1410,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.85,0.0,9.36
023400101,1713,1169,544,0.0,18,1151,0,0,0,529,0,0,0,0,0,622,0,0,0,0,0.0,0.0,0.0,45.96,0.0,0.0,0.0,0.0,0.0,54.04,0.0,0.0,0.0,0.0,31.76,0.0,1.56
023400201,1420,920,500,0.0,16,904,0,0,0,467,0,0,0,0,0,437,0,0,0,0,0.0,0.0,0.0,51.66,0.0,0.0,0.0,0.0,0.0,48.34,0.0,0.0,0.0,0.0,35.21,0.0,1.77
023400301,1085,773,312,0.0,14,759,0,0,0,435,0,0,0,0,0,324,0,0,0,0,0.0,0.0,0.0,57.31,0.0,0.0,0.0,0.0,0.0,42.69,0.0,0.0,0.0,0.0,28.76,0.0,1.84
023410000,210,190,20,0.0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.63,9.52,0.0,0.0
023500000,105,83,22,0.0,10,73,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.95,0.0,13.7
023540000,70,60,10,0.0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.67,14.29,0.0,0.0
